City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Port Blair,IN,2022-12-11 17:32:38,11.6667,92.75,78.84,89,40,1.14
68,Muroto,JP,2022-12-11 17:32:38,33.2833,134.15,51.8,60,66,16.51
69,Gautier,US,2022-12-11 17:32:39,30.3858,-88.6117,66.96,97,100,4.61
70,Asfi,MA,2022-12-11 17:32:39,32.2994,-9.2372,65.3,89,62,13.09
71,Geraldton,AU,2022-12-11 17:32:39,-28.7667,114.6,61.21,67,0,10.36
72,Luanda,AO,2022-12-11 17:32:40,-8.8368,13.2343,78.8,83,75,10.36
73,Georgetown,MY,2022-12-11 17:29:16,5.4112,100.3354,79.9,85,20,3.44
74,Calabar,NG,2022-12-11 17:32:40,4.9517,8.322,81.14,72,83,7.02
75,Abu Dhabi,AE,2022-12-11 17:29:03,24.4667,54.3667,75.22,58,40,8.05
76,Tiksi,RU,2022-12-11 17:32:40,71.6872,128.8694,-22.18,98,100,10.47
77,Sovetskiy,RU,2022-12-11 17:32:41,61.3614,63.5842,-2.9,97,99,8.43
78,Te Anau,NZ,2022-12-11 17:32:41,-45.4167,167.7167,51.21,96,58,1.43
79,Kapaa,US,2022-12-11 17:32:41,22.0752,-159.319,70.11,93,100,1.01
80,Port Elizabeth,ZA,2022-12-11 17:32:42,-33.918,25.5701,75.09,94,100,11.5
81,Kavieng,PG,2022-12-11 17:32:42,-2.5744,150.7967,81.01,77,84,7.99
82,Katsuura,JP,2022-12-11 17:32:42,35.1333,140.3,49.6,66,100,20.6
83,Farrukhnagar,IN,2022-12-11 17:32:43,17.0778,78.2011,69.51,90,73,9.26
84,Sobolevo,RU,2022-12-11 17:32:43,54.4299,31.8996,38.25,100,100,16.15
85,Pacatuba,BR,2022-12-11 17:32:43,-3.9842,-38.6203,94.73,47,37,13.71
86,Nikolskoye,RU,2022-12-11 17:32:44,59.7035,30.7861,21.09,92,100,8.79
87,Birjand,IR,2022-12-11 17:32:44,32.8663,59.2211,36.07,75,20,0.0
88,Cabo San Lucas,MX,2022-12-11 17:32:44,22.8909,-109.9124,79.05,60,20,2.3
89,Ballina,AU,2022-12-11 17:32:45,-28.8667,153.5667,67.01,95,12,11.72
90,Saskylakh,RU,2022-12-11 17:32:45,71.9167,114.0833,-4.0,95,100,15.43
91,Barrow,US,2022-12-11 17:32:14,71.2906,-156.7887,6.82,78,0,23.02
92,Punta Arenas,CL,2022-12-11 17:33:45,-53.15,-70.9167,57.31,41,0,16.11
93,Bridlington,GB,2022-12-11 17:33:46,54.0831,-0.1919,31.89,89,15,5.99
94,Palana,RU,2022-12-11 17:33:46,59.1167,159.9667,4.78,85,99,10.6
95,Carballo,ES,2022-12-11 17:33:46,43.213,-8.691,51.87,84,91,3.22
96,Yulara,AU,2022-12-11 17:33:47,-25.2406,130.9889,66.02,46,19,24.96
97,Chokurdakh,RU,2022-12-11 17:33:47,70.6333,147.9167,-13.74,96,100,9.13
98,Savannah Bight,HN,2022-12-11 17:33:47,16.45,-85.85,77.63,75,5,2.98
99,Vila Franca Do Campo,PT,2022-12-11 17:33:48,37.7167,-25.4333,66.2,90,87,26.62
100,Santa Isabel,BR,2022-12-11 17:33:48,-23.3156,-46.2214,91.11,68,48,2.64
101,Cape Town,ZA,2022-12-11 17:30:00,-33.9258,18.4232,80.11,69,20,17.27
102,Tres Coracoes,BR,2022-12-11 17:33:48,-21.6969,-45.2533,83.55,52,61,3.8
103,Nemuro,JP,2022-12-11 17:33:49,43.3236,145.575,30.45,62,16,19.48
104,Mezen,RU,2022-12-11 17:33:49,65.8522,44.24,-7.89,100,64,0.4
105,Port Alfred,ZA,2022-12-11 17:33:49,-33.5906,26.891,70.18,93,97,5.99
106,Labuhan,ID,2022-12-11 17:33:50,-6.8844,112.2051,79.48,80,100,1.43
107,Airai,TL,2022-12-11 17:33:50,-8.9266,125.4092,60.85,89,99,1.14
108,Luderitz,NA,2022-12-11 17:33:50,-26.6481,15.1594,65.98,87,5,5.48
109,Charters Towers,AU,2022-12-11 17:33:51,-20.1,146.2667,73.98,81,1,8.75
110,Klaksvik,FO,2022-12-11 17:33:51,62.2266,-6.589,36.52,74,100,35.61
111,Mar Del Plata,AR,2022-12-11 17:30:05,-38.0023,-57.5575,74.08,96,75,7.0
112,Saint-Augustin,CA,2022-12-11 17:33:51,51.226,-58.6502,11.64,67,5,11.27
113,Puerto Ayora,EC,2022-12-11 17:33:52,-0.7393,-90.3518,82.36,90,53,10.0
114,Kahului,US,2022-12-11 17:33:12,20.8947,-156.47,74.84,77,20,14.97
115,Ribeira Grande,PT,2022-12-11 17:33:52,38.5167,-28.7,66.6,88,40,23.02
116,Baherden,TM,2022-12-11 17:33:53,38.4362,57.4316,35.02,53,4,6.85
117,Tura,IN,2022-12-11 17:33:53,25.5198,90.2201,59.68,70,3,3.09
118,Namibe,AO,2022-12-11 17:33:53,-15.1961,12.1522,70.11,76,15,8.21
119,Meulaboh,ID,2022-12-11 17:33:54,4.1363,96.1285,74.03,92,100,3.89
120,Chiang Klang,TH,2022-12-11 17:33:54,19.2938,100.8617,68.14,91,16,1.12
121,Atuona,PF,2022-12-11 17:33:54,-9.8,-139.0333,78.04,78,35,19.95
122,Guasdualito,VE,2022-12-11 17:33:55,7.2424,-70.7324,86.0,62,29,4.61
123,Hithadhoo,MV,2022-12-11 17:33:55,-0.6,73.0833,82.11,76,100,16.35
124,Saint George,US,2022-12-11 17:33:55,37.1041,-113.5841,52.95,33,100,16.11
125,Chumikan,RU,2022-12-11 17:33:55,54.7183,135.315,-2.76,82,90,16.13
126,Atenas,GR,2022-12-11 17:29:44,37.9795,23.7162,64.33,73,40,8.99
127,Carazinho,BR,2022-12-11 17:33:56,-28.2839,-52.7864,90.84,23,34,4.23
128,Bambous Virieux,MU,2022-12-11 17:33:56,-20.3428,57.7575,77.25,73,40,6.91
129,Alingsas,SE,2022-12-11 17:33:57,57.9303,12.5335,22.19,96,28,5.12
130,Kupang,ID,2022-12-11 17:33:57,-10.1667,123.5833,78.62,82,100,3.2
131,Dingle,PH,2022-12-11 17:33:57,10.9995,122.6711,74.59,93,100,1.74
132,Berlevag,NO,2022-12-11 17:33:58,70.8578,29.0864,19.2,57,6,11.5
133,Chapais,CA,2022-12-11 17:33:58,49.7834,-74.8492,6.58,70,20,6.64
134,Uruzgan,AF,2022-12-11 17:33:58,32.8333,66.0,37.26,96,100,1.5
